cbp_id,cbp_provider_id,cbp_provider_name,cbp_name,cbp_type,batch_id,batch_name,batch_start_date,batch_end_date,cbp_duration,cbp_rating,last_published_on,cbp_retired_on,cbp_status,resource_count,total_certificates_issued,cbp_substatus,data_last_generated_on
do_1134900473709527041473,013417349346648064190,NIRDPR National Institute of Rural Development and Panchayati Raj,Saansad Adarsh Gram Yojana  (SAGY),Course,"","","","",03:40:00,"","",2022-03-08,Retired,0,"","",2024-02-28 02:03:31 AM
do_1135784186733199361121,0134568228588257282,Ministry of Railways,SOD Schedule of dimension ODC  over dimensioned consignment,Course,"","","","",00:52:39,4.75,2023-01-30,"",Live,6,93,SentToPublish,2024-02-28 02:03:31 AM
do_1135791405020282881176,0134801498081607683527,National Academy of Direct Taxes NADT,.............,Course,"","","","",00:00:00,"","",2022-07-12,Retired,0,"","",2024-02-28 02:03:31 AM
do_11363866669368115211225,0136102950639370249951,CSIR-National Environmental Engineering Research Institute (CSIR-NEERI),Internet of things (IOT) enabled Environmental monitoring and analysis,Course,"","","","",00:00:00,"","",2022-10-06,Retired,0,"","",2024-02-28 02:03:31 AM
do_11364776149954560011509.img,0134913087249776646170,Ministry of Mines,Basics of Geomorphology,Course,"","","","",06:26:21,"",2022-11-14,"",Draft,62,"","",2024-02-28 02:03:31 AM
do_1136939230808719361126,0135346646711500804337,Bharat Sanchar Nigam Limited(BSNL),MOTIVATIONAL TRAINING UNDER MISSION KARMAYOGI,Course,"","","","",06:35:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_113916050874245120121,0133809553768366080,CBP Karmayogi,హలోహలోహల  హలోహలోహల   హలోహలోహల హలోహలోహలహలోహలోహలహలోహలోహలహలోహలోహలహలోహలోహల,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_1139274880373882881133.img,0139077787226685440,Dr Marri Chenna Reddy Human Resource Development Institute of Telangana,సమాచార హక్కు చట్టం 2005,Course,"","","","",01:15:00,"",2023-11-21,"",Draft,7,"",InReview,2024-02-28 02:03:31 AM
do_1139974561274265601145,013662683951005696787,"National Telecommunications Institute for Policy Research, Innovation and Training (NTIPRIT)",Network Security Policy Simplified,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_1134752422602096641138,01341136245758361636,Department of Personnel and Training DoPT,COMMIT (Comprehensive Online Modified Modules for Induction Training),Course,"","","","",20:05:00,"","",2022-02-15,Retired,0,"","",2024-02-28 02:03:31 AM
do_113763153320337408149,01341081529829785612,Ministry of Rural Development,Maintenance,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_11378180347494400016,0133809553768366080,CBP Karmayogi,Course information 24-04-2023,Course,"","","","",01:11:23,"",2023-04-24,"",Retired,5,0,SentToPublish,2024-02-28 02:03:31 AM
do_113836755747569664170,01341136245758361636,Department of Personnel and Training DoPT,ABC1234567,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_113851768648441856142,013662683951005696787,"National Telecommunications Institute for Policy Research, Innovation and Training (NTIPRIT)",Legal Framework for Lawful Interception,Course,"","","","",01:18:00,4.578947368421052,2024-02-21,"",Live,2,352,SentToPublish,2024-02-28 02:03:31 AM
do_113852406832881664149,01341211756679987273,Indian Institute of Public Administration,TRY_1_TITLE,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_1138913648372695041224_rc,0133809553768366080,CBP Karmayogi,Course Title,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_1138957690278707201321,013616592545947648401,Sashastra Seema Bal (SSB),Handling and Operation of Barrett 2050 HF SSB Transreceiver,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
